[info     / 105kB] MotherBoard has returned acknowledgement....
2021-01-01 00:01:29 [info     / 119kB] MotherBoard has received cash...
2021-01-01 00:01:29 [info     / 117kB] Sending Data to MB: 10
2021-01-01 00:01:29 [info     / 115kB] Note No.: 20
2021-01-01 00:01:29 [info     / 112kB] {"Amount": "", "TradeNo": "T1609459289", "Note No.": 20, "CreatedDate": "2021-01-01 00:01:29", "MachineId": "VGT_d83add5ad714", "VersionNo": "V1.0", "Action": "A3"}
2021-01-01 00:01:30 [info     / 109kB] "{\"Amount\": \"\", \"TradeNo\": \"T1609459289\", \"Note No.\": 20, \"CreatedDate\": \"2021-01-01 00:01:29\", \"MachineId\": \"VGT_d83add5ad714\", \"VersionNo\": \"V1.0\", \"Action\": \"A3\"}"
2021-01-01 00:01:31 [info     / 140kB] Incoming data from MB: 5e3e
2021-01-01 00:01:31 [info     / 138kB] Incoming data from ICT: 8140
2021-01-01 00:01:31 [info     / 136kB] Device has accepted bill....
2021-01-01 00:01:31 [info     / 134kB] Sending Data to MB: 81
2021-01-01 00:01:32 [info     / 131kB] Received message on topic: b'vgppq/VGT_d83add5ad714', message: b'{"MachineId":"VGT_d83add5ad714","TradeNo":"T1609459289","Action":"S3","Status":"00"}'
2021-01-01 00:01:32 [info     / 128kB] Sending Data to MB: 40
2021-01-01 00:01:32 [info     / 126kB] Incoming data from MB: 02
2021-01-01 00:01:32 [info     / 110kB] MotherBoard has returned acknowledgement....
2021-01-01 00:01:33 [info     / 108kB] Checking Device Status...
2021-01-01 00:01:33 [info     / 106kB] Sending data to ICT: 0C
2021-01-01 00:01:33 [info     / 142kB] Incoming data from ICT: 103e
2021-01-01 00:01:33 [info     / 140kB] MotherBoard has received cash...
2021-01-01 00:01:33 [info     / 138kB] Sending Data to MB: 103e
2021-01-01 00:01:33 [info     / 136kB] Note No.: 21
2021-01-01 00:01:33 [info     / 133kB] {"Amount": "", "TradeNo": "T1609459293", "Note No.": 21, "CreatedDate": "2021-01-01 00:01:33", "MachineId": "VGT_d83add5ad714", "VersionNo": "V1.0", "Action": "A3"}
2021-01-01 00:00:01 [info     / 165kB] MB UART is Starting....
2021-01-01 00:00:01 [info     / 162kB] ICT UART is Starting....
2021-01-01 00:00:01 [info     / 159kB] Registering Reset Button...
2021-01-01 00:00:01 [info     / 157kB] Registering LED Pins...
2021-01-01 00:00:05 [info     / 140kB] Running program Ict Bill ....
